Row Labels;01/07/2021;02/07/2021;03/07/2021;04/07/2021;05/07/2021;06/07/2021;07/07/2021;08/07/2021;09/07/2021;10/07/2021;11/07/2021;12/07/2021;13/07/2021;14/07/2021;15/07/2021;16/07/2021;17/07/2021;18/07/2021;19/07/2021;20/07/2021;21/07/2021;22/07/2021;23/07/2021;24/07/2021;25/07/2021;26/07/2021;27/07/2021;28/07/2021;29/07/2021;30/07/2021;31/07/2021;01/08/2021;02/08/2021;03/08/2021;04/08/2021;05/08/2021;06/08/2021;07/08/2021;08/08/2021;09/08/2021;10/08/2021;11/08/2021;12/08/2021;13/08/2021;14/08/2021;15/08/2021;16/08/2021;17/08/2021;18/08/2021;19/08/2021;20/08/2021;21/08/2021;22/08/2021;23/08/2021;24/08/2021;25/08/2021;26/08/2021;27/08/2021;28/08/2021;29/08/2021;30/08/2021;31/08/2021;01/09/2021;02/09/2021;03/09/2021;04/09/2021;05/09/2021;06/09/2021;07/09/2021;08/09/2021;09/09/2021;10/09/2021;11/09/2021;12/09/2021;13/09/2021;14/09/2021;15/09/2021;16/09/2021;17/09/2021;18/09/2021;19/09/2021;20/09/2021;21/09/2021;22/09/2021;23/09/2021;24/09/2021;25/09/2021;26/09/2021;27/09/2021;28/09/2021;29/09/2021;30/09/2021;01/10/2021;02/10/2021;03/10/2021;04/10/2021;05/10/2021;06/10/2021;07/10/2021;08/10/2021;09/10/2021;10/10/2021;11/10/2021;12/10/2021;13/10/2021;14/10/2021;15/10/2021;16/10/2021;17/10/2021;18/10/2021;19/10/2021;20/10/2021;21/10/2021;22/10/2021;23/10/2021;24/10/2021;25/10/2021;26/10/2021;27/10/2021;28/10/2021;29/10/2021;30/10/2021;31/10/2021
KAB. BANDUNG;220;114;106;798;84;544;386;560;525;413;182;225;0;331;435;462;396;244;279;678;201;344;318;209;244;260;453;268;337;194;146;182;179;152;140;174;161;77;184;133;110;92;59;137;81;90;93;72;45;82;111;51;39;44;63;74;46;86;33;24;26;67;70;41;55;25;14;16;49;27;28;28;16;9;17;19;36;36;24;10;2;7;14;18;19;11;10;4;11;10;12;6;16;25;13;3;13;16;14;12;6;4;11;7;2;12;8;5;4;8;4;9;0;15;1;4;11;12;6;15;13;19;7
KAB. BANDUNG BARAT;0;0;30;31;1;10;1;38;99;13;62;0;0;198;147;216;132;74;46;105;110;121;159;80;35;197;78;68;105;278;62;74;18;56;45;56;135;72;25;41;93;30;23;54;41;19;19;35;15;57;47;27;21;132;17;36;15;24;8;13;11;18;21;13;15;16;5;6;13;11;10;9;8;6;3;7;2;8;6;8;2;2;5;4;3;4;6;2;4;7;6;5;1;5;5;0;2;1;0;3;2;3;1;0;2;3;0;2;0;0;3;5;0;3;3;2;4;1;1;3;0;1;3
KAB. BEKASI;0;0;184;137;170;131;145;140;17;22;96;460;0;473;788;804;655;589;464;551;401;680;642;488;265;170;358;490;328;366;333;179;142;226;269;239;226;158;53;103;162;167;91;134;112;58;45;83;32;318;265;162;61;120;146;115;91;114;63;22;35;84;129;69;47;45;21;25;45;9;13;26;23;16;3;20;7;7;19;16;2;2;23;10;7;7;7;5;3;7;12;5;11;12;4;2;7;3;14;4;7;4;1;7;0;3;6;7;2;1;5;3;1;8;2;5;0;2;2;7;4;7;0
KAB. BOGOR;70;219;287;267;264;235;271;219;216;425;362;661;0;1213;1344;1193;1216;1269;566;995;257;866;738;765;640;304;732;672;667;531;409;0;145;322;384;534;533;476;160;161;358;309;236;382;233;85;73;162;93;182;142;140;90;88;145;137;104;111;91;46;46;144;135;62;73;81;23;36;45;48;40;42;42;35;29;32;23;28;32;17;15;14;26;17;17;15;19;20;6;21;23;13;6;10;6;8;15;6;5;9;10;9;5;14;10;8;11;7;12;2;7;7;3;6;6;3;3;13;9;3;3;6;1
KAB. CIAMIS;86;54;13;167;188;155;165;78;4;312;171;116;0;62;238;228;122;380;87;283;120;246;156;246;211;106;274;178;294;225;163;95;299;130;142;100;107;88;84;42;184;156;188;133;112;23;135;101;96;88;122;77;52;52;35;23;54;42;31;11;35;52;21;36;32;23;13;11;9;9;28;33;23;10;7;14;15;6;31;18;7;22;20;4;6;8;1;4;12;6;7;2;3;4;2;4;3;5;4;3;4;1;4;0;0;5;0;3;1;1;3;1;1;1;1;0;4;4;0;3;0;0;0
KAB. CIANJUR;0;0;0;0;0;0;126;0;48;0;0;208;0;364;266;62;114;92;352;101;209;112;145;89;64;69;212;512;198;210;57;52;15;66;45;71;248;40;77;12;44;76;27;54;40;28;18;31;18;38;25;34;17;7;19;20;28;24;11;18;6;47;33;10;12;10;7;6;16;8;10;7;9;9;1;12;5;6;6;10;5;1;7;5;2;7;3;1;3;1;1;0;1;4;3;0;3;1;1;1;0;1;1;5;2;2;0;2;1;0;1;0;0;2;0;0;2;2;1;0;0;2;1
KAB. CIREBON;145;128;300;344;325;369;348;208;27;459;363;718;0;346;486;559;406;366;114;207;233;332;297;262;110;92;254;169;227;403;150;101;69;195;134;90;107;100;43;48;80;62;40;61;31;34;23;53;19;28;30;45;28;11;24;23;25;13;16;13;13;38;18;13;9;4;6;6;11;7;16;14;15;11;2;1;8;6;5;8;8;2;9;10;10;8;6;5;1;7;18;6;3;2;0;1;5;1;1;6;6;0;2;5;2;3;1;2;2;0;1;1;0;2;0;0;0;0;1;3;1;3;0
KAB. GARUT;309;275;64;0;232;384;288;0;0;0;148;59;0;281;499;429;275;117;333;388;185;304;331;158;234;323;213;283;27;65;33;21;16;24;28;128;111;27;15;75;25;11;38;33;38;28;26;51;46;54;37;51;33;18;11;17;33;17;18;11;12;14;12;11;6;14;17;1;9;8;9;6;4;13;5;6;4;4;6;5;1;3;11;2;1;9;2;1;0;3;5;8;1;2;1;3;3;1;6;4;1;1;4;2;0;3;2;0;2;1;0;3;1;0;1;1;1;1;0;1;0;0;1
KAB. INDRAMAYU;117;58;59;40;87;76;59;42;50;81;74;152;0;214;169;207;135;66;123;114;61;140;147;109;111;32;124;128;124;126;115;67;61;97;78;39;27;35;18;14;33;15;31;26;30;47;66;67;70;76;68;85;50;68;46;47;17;17;9;8;4;40;13;4;8;4;8;1;8;6;2;4;16;11;1;10;0;4;2;10;2;0;3;4;4;4;1;4;1;2;2;1;3;0;3;4;3;1;2;7;6;1;1;3;1;6;1;3;2;1;2;3;1;1;0;0;0;2;0;2;1;1;3
KAB. KARAWANG;554;560;344;234;475;480;663;325;640;825;395;197;551;474;352;340;283;275;100;265;418;269;341;422;315;143;227;531;267;220;201;78;90;125;105;121;185;148;174;52;74;43;62;61;82;25;31;71;30;54;46;37;19;21;21;40;67;78;101;43;11;12;14;24;17;7;4;5;13;13;9;8;6;5;4;10;8;2;3;7;5;1;11;9;6;13;3;7;2;2;5;1;4;9;3;2;2;0;1;1;2;1;1;3;3;3;5;2;0;0;1;0;0;2;0;1;3;0;0;2;0;0;2
